category_id,category_name,groups,candidate_hits,candidate_hit_rate,mean_nearest_iou,mean_hit_iou,train_gt_count,valid_gt_count,test_gt_count
68,n02883205,6,4,0.6666666666666666,0.5149686733881632,0.523380734026432,19,1,1
165,n04409515,3,2,0.6666666666666666,0.7378944655259451,0.6256552487611771,28,0,1
179,n06874185,3,2,0.6666666666666666,0.6829069256782532,0.7511559426784515,9,12,1
60,n02807133,29,21,0.7241379310344828,0.4325539888492946,0.4244476248111044,13,0,2
65,n02870880,33,24,0.7272727272727273,0.21450442166039438,0.23006540435987213,19,2,1
43,n02444819,11,8,0.7272727272727273,0.668260623108257,0.7403964437544346,8,0,2
182,n07693725,16,12,0.75,0.4655510834418237,0.5254229449977478,19,0,2
191,n07739125,45,35,0.7777777777777778,0.49356220250742305,0.5909475352349026,31,8,11
134,n03991062,9,7,0.7777777777777778,0.47758331729306114,0.5193845416818347,38,1,2
58,n02799071,31,26,0.8387096774193549,0.6491090730020416,0.7020573464374488,18,1,6
2,n01443537,19,16,0.8421052631578947,0.46460670470505167,0.5203458954638336,19,0,3
149,n04228054,51,51,1.0,0.3547442504296116,0.3547442504296116,22,0,4
24,n02131653,15,15,1.0,0.7749309639135996,0.7749309639135996,16,2,1
85,n03134739,5,5,1.0,0.7624911069869995,0.7624911069869995,10,4,2
173,n04540053,4,4,1.0,0.820505678653717,0.820505678653717,8,1,2
124,n03814639,2,2,1.0,0.5952471494674683,0.5952471494674683,10,2,1
176,n04557648,1,1,1.0,0.8696814775466919,0.8696814775466919,24,5,1
