gt_category_id,gt_category_name,pred_category_id,pred_category_name,top_k,iou_threshold,gt_count,loc_matched_count,pair_count,pair_fraction_of_gt,pair_fraction_of_loc_matched,mean_iou,mean_score,is_correct_category
127,n03908714,174,n04542943,100,0.5,1,1,1,1.0,1.0,0.9653659222601987,0.5852981805801392,False
135,n03995372,34,n02355227,100,0.5,1,1,1,1.0,1.0,0.93621717850016,0.22455553710460663,False
141,n04070727,163,n04379243,100,0.5,1,1,1,1.0,1.0,0.9048106924702851,0.14719490706920624,False
143,n04116512,192,n07745940,100,0.5,20,1,1,0.05,1.0,0.9274810568155605,0.10867233574390411,False
150,n04252077,171,n04530566,100,0.5,1,1,1,1.0,1.0,0.7560581970829048,0.09620735049247742,False
162,n04376876,34,n02355227,100,0.5,2,1,1,0.5,1.0,0.9596312998967513,0.22690704464912415,False
165,n04409515,67,n02880940,100,0.5,1,1,1,1.0,1.0,0.9093609989761215,0.1441728174686432,False
168,n04487394,1,n00007846,100,0.5,2,1,1,0.5,1.0,0.8209785722832493,0.6494452953338623,False
172,n04536866,60,n02807133,100,0.5,1,1,1,1.0,1.0,0.7013212550945264,0.09826857596635818,False
176,n04557648,76,n03001627,100,0.5,1,1,1,1.0,1.0,0.8478889301378176,0.2700016498565674,False
177,n04591157,33,n02346627,100,0.5,3,1,1,0.3333333333333333,1.0,0.923066499551015,0.2738996744155884,False
179,n06874185,102,n03476991,100,0.5,1,1,1,1.0,1.0,0.7698457452397425,0.21153895556926727,False
186,n07714571,65,n02870880,100,0.5,1,1,1,1.0,1.0,0.6782843134707035,0.12585753202438354,False
17,n02062744,7,n01674464,100,0.5,2,2,1,0.5,0.5,0.804323690909961,0.10773003846406937,False
17,n02062744,28,n02268443,100,0.5,2,2,1,0.5,0.5,0.9648542659949043,0.07286356389522552,False
21,n02121808,200,n07880968,100,0.5,2,2,1,0.5,0.5,0.9418563187669686,0.33322590589523315,False
40,n02411705,8,n01726692,100,0.5,2,2,1,0.5,0.5,0.760942300202085,0.46550506353378296,False
43,n02444819,24,n02131653,100,0.5,2,2,1,0.5,0.5,0.9212076790390794,0.18979579210281372,False
43,n02444819,107,n03513137,100,0.5,2,2,1,0.5,0.5,0.8795518221510628,0.0785406157374382,False
44,n02445715,19,n02084071,100,0.5,2,2,1,0.5,0.5,0.9346262747077425,0.9091246128082275,False
44,n02445715,46,n02484322,100,0.5,2,2,1,0.5,0.5,0.856447901648596,0.31143811345100403,False
60,n02807133,83,n03124170,100,0.5,2,2,1,0.5,0.5,0.9280172309985714,0.18086308240890503,False
60,n02807133,107,n03513137,100,0.5,2,2,1,0.5,0.5,0.8809858980729975,0.3976447284221649,False
70,n02924116,72,n02958343,100,0.5,2,2,1,0.5,0.5,0.928309629493659,0.4764459729194641,False
70,n02924116,171,n04530566,100,0.5,2,2,1,0.5,0.5,0.9699766538846378,0.4238957166671753,False
79,n03063338,163,n04379243,100,0.5,2,2,1,0.5,0.5,0.6137073435113561,0.08628038316965103,False
79,n03063338,170,n04517823,100,0.5,2,2,1,0.5,0.5,0.8950676210420883,0.3179306983947754,False
85,n03134739,143,n04116512,100,0.5,2,2,1,0.5,0.5,0.7069820583197138,0.24633042514324188,False
85,n03134739,165,n04409515,100,0.5,2,2,1,0.5,0.5,0.849088814366195,0.2830781638622284,False
97,n03394916,1,n00007846,100,0.5,2,2,1,0.5,0.5,0.5695167373230285,0.11063694208860397,False
97,n03394916,6,n01662784,100,0.5,2,2,1,0.5,0.5,0.7530841342685158,0.23972755670547485,False
98,n03400231,65,n02870880,100,0.5,3,2,1,0.3333333333333333,0.5,0.8053633436988411,0.11798916757106781,False
98,n03400231,171,n04530566,100,0.5,3,2,1,0.3333333333333333,0.5,0.5673157441609324,0.19234654307365417,False
106,n03495258,1,n00007846,100,0.5,2,2,1,0.5,0.5,0.5169030903962847,0.2367166131734848,False
106,n03495258,53,n02766320,100,0.5,2,2,1,0.5,0.5,0.7784674945166163,0.07697839289903641,False
115,n03720891,34,n02355227,100,0.5,2,2,1,0.5,0.5,0.9807128374419194,0.08230285346508026,False
115,n03720891,54,n02769748,100,0.5,2,2,1,0.5,0.5,0.8184025706359378,0.09985727816820145,False
128,n03916031,46,n02484322,100,0.5,2,2,1,0.5,0.5,0.8359566335103437,0.17073559761047363,False
128,n03916031,61,n02815834,100,0.5,2,2,1,0.5,0.5,0.9702563866518799,0.17207008600234985,False
132,n03958227,1,n00007846,100,0.5,4,2,1,0.25,0.5,0.6246508117255113,0.07964417338371277,False
132,n03958227,123,n03804744,100,0.5,4,2,1,0.25,0.5,0.9228955560805563,0.08261773735284805,False
139,n04026417,28,n02268443,100,0.5,2,2,1,0.5,0.5,0.947177875147093,0.07831892371177673,False
139,n04026417,54,n02769748,100,0.5,2,2,1,0.5,0.5,0.9772802336562205,0.24083857238292694,False
