category_id,category_name,max_groups,high_support_runs,zero_hit_runs,transition,hit_rate_delta_latest_vs_base,nearest_iou_delta_latest_vs_base,base_groups,base_hits,base_hit_rate,base_mean_nearest_iou,base_zero_hit,full_lr_2ep_groups,full_lr_2ep_hits,full_lr_2ep_hit_rate,full_lr_2ep_mean_nearest_iou,full_lr_2ep_zero_hit,extra_low_lr_groups,extra_low_lr_hits,extra_low_lr_hit_rate,extra_low_lr_mean_nearest_iou,extra_low_lr_zero_hit
65,n02870880,33,1,0,new_high_support_in_extra_low_lr,0.0802139037433,-0.149055313512,17,11,0.647058823529,0.363559735172,0,14,12,0.857142857143,0.370543177572,0,33,24,0.727272727273,0.21450442166,0
88,n03196217,31,2,0,new_high_support_in_extra_low_lr,-0.25,-0.0812016331724,14,5,0.357142857143,0.56108832519,0,31,3,0.0967741935484,0.455627615143,0,28,3,0.107142857143,0.479886692017,0
89,n03207941,30,2,0,new_high_support_in_extra_low_lr,0.544444444444,-0.0323800928891,18,1,0.0555555555556,0.424251899123,0,27,19,0.703703703704,0.474579504346,0,30,18,0.6,0.391871806234,0
114,n03710721,26,2,2,new_high_support_in_extra_low_lr,0,0.00842251398365,14,0,0,0.207634149918,0,21,0,0,0.152808591546,1,26,0,0,0.216056663901,1
63,n02834778,26,2,0,new_high_support_in_extra_low_lr,0.188259109312,-0.00626445864704,19,3,0.157894736842,0.536877468841,0,25,12,0.48,0.514103160379,0,26,9,0.346153846154,0.530613010194,0
40,n02411705,23,1,0,new_high_support_in_extra_low_lr,0.180602006689,-0.066997002667,13,5,0.384615384615,0.526064717999,0,9,3,0.333333333333,0.722967478964,0,23,13,0.565217391304,0.459067715332,0
101,n03467517,22,1,0,new_high_support_in_extra_low_lr,0.0454545454545,-0.0270561543717,11,1,0.0909090909091,0.430826575919,0,18,2,0.111111111111,0.359805440323,0,22,3,0.136363636364,0.403770421547,0
64,n02840245,22,2,0,new_high_support_in_extra_low_lr,0.245989304813,-0.00418003493133,17,2,0.117647058824,0.498809672016,0,20,4,0.2,0.457032033056,0,22,8,0.363636363636,0.494629637084,0
120,n03790512,20,1,0,new_high_support_in_extra_low_lr,-0.0833333333333,-0.130775548269,6,2,0.333333333333,0.63336062183,0,14,5,0.357142857143,0.483962226127,0,20,5,0.25,0.50258507356,0
148,n04154565,20,1,0,new_high_support_in_extra_low_lr,-0.0625,-0.0120636524633,16,5,0.3125,0.215327871032,0,15,4,0.266666666667,0.165074357887,0,20,5,0.25,0.203264218569,0
42,n02437136,20,1,1,new_high_support_in_extra_low_lr,0,-0.0469217323148,11,0,0,0.339735308747,0,17,0,0,0.424927387387,0,20,0,0,0.292813576432,1
28,n02268443,41,2,0,lost_high_support_after_base,-0.0269576379974,0.00816468765962,41,27,0.658536585366,0.326598757742,0,35,24,0.685714285714,0.27515239343,0,19,12,0.631578947368,0.334763445401,0
44,n02445715,25,2,0,lost_high_support_after_base,0.0376470588235,0.0702798794287,25,2,0.08,0.567071470115,0,21,2,0.0952380952381,0.699586894541,0,17,2,0.117647058824,0.637351349544,0
24,n02131653,24,1,0,lost_high_support_after_base,0.875,0.401242476888,24,3,0.125,0.373688487026,0,5,3,0.6,0.770668497682,0,15,15,1,0.774930963914,0
77,n03017168,22,1,1,lost_high_support_after_base,0,0.0970031237273,22,0,0,0.340470328135,1,16,1,0.0625,0.392711543478,0,13,0,0,0.437473451862,0
125,n03838899,24,1,0,no_high_support,-0.125,-0.160562342964,8,5,0.625,0.783200874925,0,24,6,0.25,0.703930454794,0,10,5,0.5,0.622638531961,0
14,n01944390,23,1,0,no_high_support,-0.0833333333333,0.0249726387362,12,5,0.416666666667,0.362936813384,0,23,4,0.173913043478,0.176874447938,0,12,4,0.333333333333,0.38790945212,0
2,n01443537,21,1,0,no_high_support,0.114832535885,-0.0744216906009,11,8,0.727272727273,0.539028395306,0,21,17,0.809523809524,0.48379765451,0,19,16,0.842105263158,0.464606704705,0
128,n03916031,19,0,0,no_high_support,0.224880382775,0.00415500278393,11,1,0.0909090909091,0.502900991927,0,12,3,0.25,0.498058492318,0,19,6,0.315789473684,0.507055994711,0
168,n04487394,19,0,0,no_high_support,0.0625,-0.0675863855053,15,0,0,0.340799057484,0,19,0,0,0.37240218131,0,16,1,0.0625,0.273212671978,0
182,n07693725,18,0,0,no_high_support,0.25,-0.177592038829,10,5,0.5,0.643143122271,0,18,16,0.888888888889,0.491141684353,0,16,12,0.75,0.465551083442,0
43,n02444819,16,0,0,no_high_support,0.393939393939,0.0732022249939,9,3,0.333333333333,0.595058398114,0,16,3,0.1875,0.443260845728,0,11,8,0.727272727273,0.668260623108,0
48,n02509815,16,0,0,no_high_support,0.136363636364,0.0733530387621,11,4,0.363636363636,0.583961669694,0,12,7,0.583333333333,0.646918738882,0,16,8,0.5,0.657314708456,0
115,n03720891,15,0,0,no_high_support,-0.166666666667,0.0241126390795,10,3,0.3,0.56391538009,0,14,0,0,0.517875860844,0,15,2,0.133333333333,0.58802801917,0
117,n03761084,15,0,0,no_high_support,0.181818181818,0.05622857731,15,0,0,0.253694377075,0,13,3,0.230769230769,0.337543971819,0,11,2,0.181818181818,0.309922954385,0
3,n01495701,14,0,0,no_high_support,0.0818181818182,-0.0680574795062,10,1,0.1,0.587639339268,0,14,3,0.214285714286,0.608521159206,0,11,2,0.181818181818,0.519581859762,0
54,n02769748,14,0,0,no_high_support,0.166666666667,-0.0459382010546,12,1,0.0833333333333,0.472667793549,0,14,6,0.428571428571,0.42014336107,0,8,2,0.25,0.426729592495,0
