gt_category_id,gt_category_name,pred_category_id,pred_category_name,top_k,iou_threshold,gt_count,loc_matched_count,pair_count,pair_fraction_of_gt,pair_fraction_of_loc_matched,mean_iou,mean_score,is_correct_category
29,n02274259,123,n03804744,100,0.5,7,6,1,0.14285714285714285,0.16666666666666666,0.9450841117655994,0.28002288937568665,False
70,n02924116,164,n04392985,100,0.5,7,6,1,0.14285714285714285,0.16666666666666666,0.7630435611575787,0.04789082705974579,False
160,n04356056,60,n02807133,100,0.5,7,6,1,0.14285714285714285,0.16666666666666666,0.8719361222839039,0.24040117859840393,False
142,n04074963,143,n04116512,100,0.5,12,7,1,0.08333333333333333,0.14285714285714285,0.8809684798851727,0.19965967535972595,False
171,n04530566,101,n03467517,100,0.5,11,7,1,0.09090909090909091,0.14285714285714285,0.8494111522739384,0.15875433385372162,False
18,n02076196,31,n02324045,100,0.5,10,8,1,0.1,0.125,0.500243034710136,0.14901725947856903,False
58,n02799071,14,n01944390,100,0.5,9,8,1,0.1111111111111111,0.125,0.9073237406390056,0.16586892306804657,False
58,n02799071,131,n03950228,100,0.5,9,8,1,0.1111111111111111,0.125,0.9223594918808415,0.0719720870256424,False
58,n02799071,191,n07739125,100,0.5,9,8,1,0.1111111111111111,0.125,0.8667118032261482,0.05714184790849686,False
83,n03124170,61,n02815834,100,0.5,8,8,1,0.125,0.125,0.8980582394165665,0.18856501579284668,False
83,n03124170,105,n03494278,100,0.5,8,8,1,0.125,0.125,0.5369153083707244,0.11730924993753433,False
83,n03124170,126,n03908618,100,0.5,8,8,1,0.125,0.125,0.8351553953735771,0.1786518096923828,False
39,n02402425,19,n02084071,100,0.5,9,9,1,0.1111111111111111,0.1111111111111111,0.6478511052199574,0.10142557322978973,False
39,n02402425,42,n02437136,100,0.5,9,9,1,0.1111111111111111,0.1111111111111111,0.92681663806858,0.03980584815144539,False
183,n07695742,2,n01443537,100,0.5,11,10,1,0.09090909090909091,0.1,0.9343527407607023,0.16457784175872803,False
183,n07695742,101,n03467517,100,0.5,11,10,1,0.09090909090909091,0.1,0.7356893746105624,0.14860700070858002,False
47,n02503517,1,n00007846,100,0.5,11,11,1,0.09090909090909091,0.09090909090909091,0.7780549506642688,0.22248400747776031,False
47,n02503517,19,n02084071,100,0.5,11,11,1,0.09090909090909091,0.09090909090909091,0.8971746618835416,0.7951503396034241,False
47,n02503517,24,n02131653,100,0.5,11,11,1,0.09090909090909091,0.09090909090909091,0.843362310695584,0.03858546167612076,False
47,n02503517,40,n02411705,100,0.5,11,11,1,0.09090909090909091,0.09090909090909091,0.8469108407457518,0.06084005907177925,False
87,n03188531,155,n04270147,100,0.5,11,11,1,0.09090909090909091,0.09090909090909091,0.9310489731813124,0.0401330329477787,False
87,n03188531,157,n04330267,100,0.5,11,11,1,0.09090909090909091,0.09090909090909091,0.9430769547368305,0.08895400166511536,False
76,n03001627,154,n04256520,100,0.5,13,13,1,0.07692307692307693,0.07692307692307693,0.9470362020797874,0.16348549723625183,False
