image_id,file_name,gt_boxes,predictions,captured_layers,gt_attention_mass,top_pred_attention_mass,attention_entropy,attention_peak_x,attention_peak_y,query_overlay_count,query_gt_attention_mass_mean,query_gt_attention_mass_min,query_gt_attention_mass_max,query_zero_gt_attention_count
1585,000000001585_ILSVRC2012_val_00005356.JPEG,2,4,3,0.9249797161653873,0.9112438564284677,0.9193763860658871,0.9921875,0.9921875,1,0.8625047870541773,0.8625047870541773,0.8625047870541773,0
343,000000000343_ILSVRC2012_val_00001178.JPEG,9,16,3,0.9733899245890055,0.8473254050859351,0.8666578688644515,0.7578125,0.4296875,1,0.8893163079578394,0.8893163079578394,0.8893163079578394,0
696,000000000696_ILSVRC2012_val_00002335.JPEG,5,14,3,0.9466561403463528,1.0,0.9419975231866674,0.0078125,0.4921875,1,1.0,1.0,1.0,0
448,000000000448_ILSVRC2012_val_00001531.JPEG,6,8,3,0.8746034956165314,0.9522426797965221,0.9419394876529797,0.0078125,0.5859375,1,0.7188145730092781,0.7188145730092781,0.7188145730092781,0
626,000000000626_ILSVRC2012_val_00002097.JPEG,3,5,3,0.837804348927343,0.9115204072669754,0.9372168002150455,0.8203125,0.0078125,1,0.8152617848806539,0.8152617848806539,0.8152617848806539,0
951,000000000951_ILSVRC2012_val_00003211.JPEG,12,6,3,0.8159709509847756,0.4806098507563855,0.9520735460750113,0.9921875,0.9921875,1,0.9200732656526994,0.9200732656526994,0.9200732656526994,0
1438,000000001438_ILSVRC2012_val_00004831.JPEG,7,10,3,0.7709217179253599,0.7746384849198314,0.8739722009361494,0.9921875,0.5234375,1,0.9439737844513756,0.9439737844513756,0.9439737844513756,0
549,000000000549_ILSVRC2012_val_00001805.JPEG,6,3,3,0.44673418564996187,0.38042147546134797,0.892536287771705,0.0078125,0.3828125,1,0.8931147261574037,0.8931147261574037,0.8931147261574037,0
396,000000000396_ILSVRC2012_val_00001339.JPEG,8,35,3,0.5268666653137004,0.46805057371672343,0.8967390577612565,0.0078125,0.8671875,1,0.9375000009642018,0.9375000009642018,0.9375000009642018,0
256,000000000256_ILSVRC2012_val_00000901.JPEG,5,6,3,0.3609325817858067,0.4178742019903178,0.8540775629368854,0.6484375,0.8046875,1,0.938618500584179,0.938618500584179,0.938618500584179,0
